[2026-04-25T15:36:09.832Z] mode: DRY-RUN (no writes)
[2026-04-25T15:36:10.666Z] stocks total: 414
[2026-04-25T15:36:10.954Z] master rows hit by current tickers: 266
[2026-04-25T15:36:10.956Z] suspect rows: 112
[2026-04-25T15:36:38.998Z] bucket A (remap):     34
[2026-04-25T15:36:38.998Z] bucket B (delete):    55
[2026-04-25T15:36:38.998Z] bucket C (rename):    19
[2026-04-25T15:36:38.999Z] [C_rename]      2883.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "凱基金"
[2026-04-25T15:36:38.999Z] [C_rename]      2886.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "兆豐金"
[2026-04-25T15:36:38.999Z] [B_delete]      2888.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [C_rename]      2892.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "第一金"
[2026-04-25T15:36:38.999Z] [C_rename]      2882.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "國泰金"
[2026-04-25T15:36:38.999Z] [C_rename]      2881.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "富邦金"
[2026-04-25T15:36:38.999Z] [C_rename]      2885.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "元大金"
[2026-04-25T15:36:38.999Z] [C_rename]      2890.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "永豐金"
[2026-04-25T15:36:38.999Z] [C_rename]      2887.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "台新新光金"
[2026-04-25T15:36:38.999Z] [C_rename]      2889.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "國票金"
[2026-04-25T15:36:38.999Z] [C_rename]      2897.TW         name="First Financial Holding Co., Ltd." market=TW post_stocks=0 (master-name-disagrees) → rename "First Financial Holding Co., Ltd." → "王道銀行"
[2026-04-25T15:36:38.999Z] [B_delete]      DIOT            name="DIOT" market=US post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      UMC             name="聯華電子" market=TW post_stocks=0 (wrong-market (master has UMC in US))
[2026-04-25T15:36:38.999Z] [B_delete]      PSMC            name="力積電" market=TW post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [A_remap]       FLCL            name="Cloudflare" market=US post_stocks=0 (remap-table) → remap to NET
[2026-04-25T15:36:38.999Z] [B_delete]      ^TWII           name="TWSE Weighted Index" market=TW post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      DI0T            name="DI0T" market=TW post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [A_remap]       BRCM            name="Broadcom Inc." market=US post_stocks=2 (remap-table) → remap to AVGO
[2026-04-25T15:36:38.999Z] [A_remap]       CNFL            name="Confluent, Inc." market=US post_stocks=1 (remap-table) → remap to CFLT
[2026-04-25T15:36:38.999Z] [B_delete]      CHROME          name="Chrome" market=US post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      ANDROID         name="Android" market=US post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      CLAUDE          name="Claude" market=US post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      YOUTUBE         name="YouTube" market=US post_stocks=0 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      VMWARE          name="VMware, Inc." market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [A_remap]       00631L          name="元大台灣50正2" market=TW post_stocks=1 (remap-table) → remap to 00631L.TW
[2026-04-25T15:36:38.999Z] [B_delete]      ERG             name="ERG" market=HK post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      ASUS            name="華碩" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [B_delete]      US              name="US" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:38.999Z] [C_rename]      BYD             name="BYD" market=US post_stocks=2 (master-name-disagrees) → rename "BYD" → "Boyd Gaming Corporation Common Stock"
[2026-04-25T15:36:38.999Z] [C_rename]      NIO             name="NIO" market=US post_stocks=1 (master-name-disagrees) → rename "NIO" → "NIO Inc. American depositary shares, each representing one Class A ordinary share"
